SeniorCitizen,tenure,MonthlyCharges,TotalCharges,gender_Female,gender_Male,Partner_No,Partner_Yes,Dependents_No,Dependents_Yes,PhoneService_No,PhoneService_Yes,MultipleLines_No,MultipleLines_No phone service,MultipleLines_Yes,InternetService_DSL,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_Month-to-month,Contract_One year,Contract_Two year,PaperlessBilling_No,PaperlessBilling_Yes,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,Churn_No,Churn_Yes,tenure_in_years,tenure_group,monthly_charges_to_tenure_ratio,total_charges_per_month,charges_vs_avg_ratio,has_dependents,has_phone_service,has_internet_service,is_senior_citizen,total_services,has_premium_services,service_utilization_score,payment_risk_score,contract_Month-to-month_charges,contract_One year_charges,contract_Two year_charges,internet_DSL_charges,internet_Fiber optic_charges,internet_No_charges,estimated_clv,high_monthly_charges,low_tenure,high_risk_combination,customer_segment
0,1,29.85,29.85,True,False,False,True,True,False,True,False,False,True,False,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False,True,False,0.08333333333333333,New,14.925,14.925,0.4606608860534477,False,False,1,0,1,1,1.0,5,29.85,0.0,0.0,29.85,0.0,0.0,29.85,0,1,0,Low_Value_New
0,34,56.95,1889.5,False,True,True,False,True,False,False,True,True,False,False,True,False,False,False,False,True,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,True,True,False,2.8333333333333335,Medium,1.6271428571428572,53.98571428571429,0.8788823269930937,False,True,1,0,2,1,2.7,3,0.0,56.95,0.0,56.95,0.0,0.0,1936.3000000000002,0,0,0,Low_Value_Loyal
0,2,53.85,108.15,False,True,True,False,True,False,False,True,True,False,False,True,False,False,False,False,True,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,True,0.16666666666666666,New,17.95,36.050000000000004,0.8310414979557171,False,True,1,0,2,1,2.5,4,53.85,0.0,0.0,53.85,0.0,0.0,107.7,0,1,0,Low_Value_New
0,45,42.3,1840.75,False,True,True,False,True,False,True,False,False,True,False,True,False,False,False,False,True,True,False,False,False,False,True,False,False,True,True,False,False,True,False,False,False,True,False,True,False,True,False,False,False,True,False,3.75,Medium,0.9195652173913043,40.016304347826086,0.6527958284777499,False,False,1,0,3,1,4.5,2,0.0,42.3,0.0,42.3,0.0,0.0,1903.4999999999998,0,0,0,Low_Value_Loyal
0,2,70.7,151.65,True,False,True,False,True,False,False,True,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,True,0.16666666666666666,New,23.566666666666666,50.550000000000004,1.0910795525621022,False,True,1,0,0,0,0.0,5,70.7,0.0,0.0,0.0,70.7,0.0,141.4,0,1,0,Low_Value_New
0,8,99.65,820.5,True,False,True,False,True,False,False,True,False,False,True,False,True,False,True,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False,False,True,True,False,False,False,True,False,False,True,False,False,True,0.6666666666666666,New,11.072222222222223,91.16666666666667,1.5378511656692146,False,True,1,0,3,1,3.2,5,99.65,0.0,0.0,0.0,99.65,0.0,797.2,1,1,1,High_Value_New
0,22,89.1,1949.4,False,True,True,False,False,True,False,True,False,False,True,False,True,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,True,False,True,False,False,True,False,1.8333333333333333,Medium,3.8739130434782605,84.75652173913043,1.3750380216871754,True,True,1,0,2,1,2.0,2,89.1,0.0,0.0,0.0,89.1,0.0,1960.1999999999998,0,0,0,High_Value_New
0,10,29.75,301.9,True,False,True,False,True,False,True,False,False,True,False,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,True,False,0.8333333333333334,New,2.7045454545454546,27.44545454545454,0.45911763350385487,False,False,1,0,1,1,1.5,4,29.75,0.0,0.0,29.75,0.0,0.0,297.5,0,0,0,Low_Value_New
0,28,104.8,3046.05,True,False,False,True,True,False,False,True,False,False,True,False,True,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False,False,True,False,False,True,False,False,True,2.3333333333333335,Medium,3.613793103448276,105.03620689655173,1.6173286719732434,False,True,1,0,4,1,5.0,5,104.8,0.0,0.0,0.0,104.8,0.0,2934.4,1,0,0,High_Value_Loyal
0,62,56.15,3487.95,False,True,True,False,False,True,False,True,True,False,False,True,False,False,False,False,True,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False,True,False,False,False,True,False,5.166666666666667,Long,0.8912698412698412,55.364285714285714,0.8665363065963513,True,True,1,0,2,1,2.5,2,0.0,56.15,0.0,56.15,0.0,0.0,3481.2999999999997,0,0,0,Low_Value_Loyal
0,13,49.95,587.45,False,True,False,True,False,True,False,True,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,True,True,False,1.0833333333333333,Medium,3.567857142857143,41.96071428571429,0.7708546485215984,True,True,1,0,1,1,1.5,4,49.95,0.0,0.0,49.95,0.0,0.0,649.35,0,0,0,Low_Value_New
0,16,18.95,326.8,False,True,True,False,True,False,False,True,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,True,False,False,True,False,False,True,False,1.3333333333333333,Medium,1.1147058823529412,19.223529411764705,0.2924463581478336,False,True,0,0,0,0,0.0,0,0.0,0.0,18.95,0.0,0.0,18.95,303.2,0,0,0,Low_Value_New
0,58,100.35,5681.1,False,True,False,True,True,False,False,True,False,False,True,False,True,False,True,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False,True,False,True,False,False,True,False,False,True,False,4.833333333333333,Long,1.7008474576271186,96.28983050847458,1.548653933516364,False,True,1,0,3,1,3.2,1,0.0,100.35,0.0,0.0,100.35,0.0,5820.299999999999,1,0,0,High_Value_Loyal
0,49,103.7,5036.3,False,True,True,False,True,False,False,True,False,False,True,False,True,False,True,False,False,False,False,True,False,False,True,True,False,False,False,False,True,False,False,True,True,False,False,False,True,True,False,False,False,False,True,4.083333333333333,Long,2.074,100.726,1.6003528939277227,False,True,1,0,4,1,4.2,3,103.7,0.0,0.0,0.0,103.7,0.0,5081.3,1,0,0,High_Value_Loyal
0,25,105.5,2686.05,False,True,True,False,True,False,False,True,True,False,False,False,True,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False,False,True,False,False,True,False,True,False,2.0833333333333335,Medium,4.0576923076923075,103.3096153846154,1.6281314398203928,False,True,1,0,5,1,6.5,5,105.5,0.0,0.0,0.0,105.5,0.0,2637.5,1,0,0,High_Value_Loyal
0,69,113.25,7895.15,True,False,False,True,False,True,False,True,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False,True,False,False,True,False,5.75,Long,1.6178571428571429,112.78785714285713,1.747733512413834,True,True,1,0,6,1,7.5,0,0.0,0.0,113.25,0.0,113.25,0.0,7814.25,1,0,0,High_Value_Loyal
